index_id,index_label,horizon,block,full_r2_oos,delta_r2_oos
spx,S&P 500,1,Persistence,0.46501612323509967,0.01210390691677099
spx,S&P 500,1,Raw market-risk,0.46501612323509967,0.029105802039646522
spx,S&P 500,1,Macro-financial,0.46501612323509967,0.021461363736159145
spx,S&P 500,1,Wavelet,0.46501612323509967,0.02943581603918366
spx,S&P 500,5,Persistence,0.48973066106628993,0.009330163545501535
spx,S&P 500,5,Raw market-risk,0.48973066106628993,0.03087074227021902
spx,S&P 500,5,Macro-financial,0.48973066106628993,0.054586916171342814
spx,S&P 500,5,Wavelet,0.48973066106628993,0.009938948710843554
spx,S&P 500,10,Persistence,0.32043147866330024,-0.0010109010159048415
spx,S&P 500,10,Raw market-risk,0.32043147866330024,-0.039610988867915364
spx,S&P 500,10,Macro-financial,0.32043147866330024,0.0669255218707433
spx,S&P 500,10,Wavelet,0.32043147866330024,0.002338920374107767
ndq,Nasdaq-100,1,Persistence,0.3842428808808692,-0.0018898884835875096
ndq,Nasdaq-100,1,Raw market-risk,0.3842428808808692,0.04435881019146626
ndq,Nasdaq-100,1,Macro-financial,0.3842428808808692,0.002537013082530848
ndq,Nasdaq-100,1,Wavelet,0.3842428808808692,0.003611837486608094
ndq,Nasdaq-100,5,Persistence,0.4254254404393305,-0.0008169374249400452
ndq,Nasdaq-100,5,Raw market-risk,0.4254254404393305,0.0299270800887671
ndq,Nasdaq-100,5,Macro-financial,0.4254254404393305,0.010101015603543928
ndq,Nasdaq-100,5,Wavelet,0.4254254404393305,-0.008476041667443313
ndq,Nasdaq-100,10,Persistence,0.3325977731799604,-0.0011687664744656212
ndq,Nasdaq-100,10,Raw market-risk,0.3325977731799604,0.016126601264057627
ndq,Nasdaq-100,10,Macro-financial,0.3325977731799604,0.012488758192758742
ndq,Nasdaq-100,10,Wavelet,0.3325977731799604,-0.01273459321054915
dji,DJIA,1,Persistence,0.04892864610700509,-0.10342566485321958
dji,DJIA,1,Raw market-risk,0.04892864610700509,-0.3763764592212969
dji,DJIA,1,Macro-financial,0.04892864610700509,0.018622245859412745
dji,DJIA,1,Wavelet,0.04892864610700509,0.011560244466472636
dji,DJIA,5,Persistence,0.24102284825244857,-0.03461525938043697
dji,DJIA,5,Raw market-risk,0.24102284825244857,-0.1768539896123893
dji,DJIA,5,Macro-financial,0.24102284825244857,0.0324199378224318
dji,DJIA,5,Wavelet,0.24102284825244857,0.0006519994677585128
dji,DJIA,10,Persistence,0.010028399130671661,-0.06919360105652261
dji,DJIA,10,Raw market-risk,0.010028399130671661,-0.3186021776077631
dji,DJIA,10,Macro-financial,0.010028399130671661,0.032260591354112855
dji,DJIA,10,Wavelet,0.010028399130671661,0.005831084245223828
