horizon,decile,delta_wavelet_vs_har
1,1,-0.1707157157132174
5,1,-0.17832848543159446
10,1,-0.1992725013365884
1,2,-0.0762138830978894
5,2,-0.05037052385770877
10,2,-0.04004416297802616
1,3,-0.006859653208278682
5,3,0.0075607821895521165
10,3,-0.021018160874673404
1,4,0.10330958868766742
5,4,0.03319092729079356
10,4,0.023805916137361983
1,5,0.16827168806056833
5,5,0.0559447506568834
10,5,0.05474638545422528
1,6,0.2862129994842442
5,6,0.08106748070577358
10,6,0.12243646536325972
1,7,0.32959431935276073
5,7,0.13599562634783646
10,7,0.11124769971054695
1,8,0.2769151164688387
5,8,0.1411045977450845
10,8,0.10159631211233303
1,9,0.8938340346005623
5,9,0.20191967854343987
10,9,0.10218428771529132
1,10,2.3900035419038765
5,10,-0.14818976393572755
10,10,-0.558356753228427
