Index,Horizon,Model,DM stat,DM p-value,CW stat,CW p-value
DJIA,1,LightGBM,3.57224922544579,0.0003539283435136,2.059634572451714,0.0197167442666128
DJIA,1,Wavelet-LightGBM,3.3435810185268577,0.0008270454063608,2.4400840750708066,0.0073419220226962
DJIA,5,LightGBM,1.925411069307975,0.054177951861519,2.33325242516254,0.0098174503939975
DJIA,5,Wavelet-LightGBM,1.4581024272769905,0.1448123124572986,2.502737046555724,0.0061618533770448
DJIA,10,LightGBM,-0.2282810452041355,0.8194277592889914,2.900705575299272,0.0018616176348716
DJIA,10,Wavelet-LightGBM,-1.158462309996524,0.2466754239227504,2.98327603816942,0.0014259033184789
Nasdaq-100,1,LightGBM,2.9271709330011824,0.0034206082547847,2.934865555737711,0.0016684611810455
Nasdaq-100,1,Wavelet-LightGBM,3.966651376495424,7.288948809636153e-05,3.541857771112222,0.0001986598222487
Nasdaq-100,5,LightGBM,-0.98950866563494,0.3224143321854074,4.51552148447143,3.158057121366298e-06
Nasdaq-100,5,Wavelet-LightGBM,-0.3531854524680246,0.7239494132762909,4.926986354921613,4.175379203497087e-07
Nasdaq-100,10,LightGBM,-1.07998462114149,0.2801490285477186,4.68222511215408,1.4188879666754417e-06
Nasdaq-100,10,Wavelet-LightGBM,-2.1445166268175715,0.0319915146483715,4.821098270870203,7.138499940051446e-07
S&P 500,1,LightGBM,2.638983737414491,0.0083154969828658,2.6413781374141694,0.0041284752698694
S&P 500,1,Wavelet-LightGBM,2.613580727233386,0.0089598913953077,2.6692830540605623,0.0038006680604777
S&P 500,5,LightGBM,1.0036527430836626,0.3155460225770112,2.4891716722550514,0.0064020561132757
S&P 500,5,Wavelet-LightGBM,0.8996932188823241,0.3682835330920233,2.677966808383532,0.0037035279001103
S&P 500,10,LightGBM,-0.1799719391912687,0.8571745977555683,2.784486333399656,0.0026806290180871
S&P 500,10,Wavelet-LightGBM,0.2021188293084924,0.8398238279823436,2.7363826050943008,0.0031059377403849
