horizon,decile,delta_spill_vs_wavelet
1,1,-0.007857274106859121
5,1,0.005716818214752585
10,1,0.0068350988664712805
1,2,0.00044184887468329335
5,2,0.0012621254949615557
10,2,-0.0052696170568161055
1,3,0.0078003449964768835
5,3,-0.0053155407650220905
10,3,-0.030770796728604864
1,4,-0.0017973767920428697
5,4,-0.02451019793520036
10,4,-0.011079769645198302
1,5,0.01361478148561508
5,5,-0.019189430659451476
10,5,-0.005180715968398671
1,6,-0.025227533463560967
5,6,0.04222144953643286
10,6,0.029407741993450927
1,7,-0.022860853633522374
5,7,0.06466263480519
10,7,0.04333848889606769
1,8,-0.0472762910906657
5,8,-0.03779227811683472
10,8,-0.005458492104873809
1,9,-0.010583743593803908
5,9,-0.14127241508495714
10,9,-0.060388076335589146
1,10,-0.5492608622807196
5,10,-0.10662072405321266
10,10,0.0051727262220023044
